CMDLINE C:\Users\Nata\anaconda\envs\opt_project\python.exe yoga-pose-classification-v0.py
MEM 1224.718750 1767781926.9833
MEM 1224.718750 1767781927.0849
MEM 1224.718750 1767781927.1866
MEM 1224.718750 1767781927.2868
MEM 1218.519531 1767781927.3887
MEM 1216.910156 1767781927.4911
MEM 1218.347656 1767781927.5916
MEM 1223.089844 1767781927.6931
MEM 1243.914062 1767781927.7952
MEM 1264.492188 1767781927.8978
MEM 1224.707031 1767781927.9991
MEM 1222.671875 1767781928.0997
MEM 1233.367188 1767781928.2002
MEM 1224.734375 1767781928.3013
MEM 1224.734375 1767781928.4025
MEM 1224.734375 1767781928.5030
MEM 1218.875000 1767781928.6037
MEM 1218.593750 1767781928.7047
